Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 11:02:00,35-44,Government & Public Administration,Engineering or Manufacturing,Materials Engineer,,125000,800,USD,,,United States,California,Ridgecrest,On-site,11-20 years,11-20 years,College degree,Man,White
4/11/2023 11:02:07,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Assistant Branch Manager,,71000,0,USD,,,United States,Virginia,Fairfax County,On-site,8-10 years,5-7 years,Master's degree,Man,White
4/11/2023 11:02:12,35-44,Education (Higher Education),Education (Higher Education),Director of Financial Aid,,60000,0,USD,,,United States,Oklahoma,Anadarko ,On-site,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:02:15,25-34,Education (Higher Education),Government & Public Administration,Administrative Assistant,,42000,,USD,,,United States,Virginia,Richmond,On-site,2-4 years,2-4 years,College degree,Man,White
4/11/2023 11:02:25,18-24,"Accounting, Banking & Finance",Administration,Executive Assistant,,65000,0,USD,,,United States,Utah,Orem,On-site,2-4 years,2-4 years,Some college,Woman,White
4/11/2023 11:02:29,25-34,Government & Public Administration,Law,Counsel,,88000,0,USD,,,United States,Ohio,Columbus,On-site,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:02:31,25-34,Computing or Tech,Computing or Tech,Devops Automation Manager,,80000,0,USD,,,United States,Massachusetts,Wellesley,Fully remote,5-7 years,5-7 years,College degree,Non-binary,White
4/11/2023 11:02:35,35-44,Hospitality & Events,Hospitality & Events,Assistant Manager,Front Office Department,50000,,USD,,,United States,Ohio,Columbus,On-site,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:02:36,25-34,Computing or Tech,Computing or Tech,Systems Administrator,,99000,,USD,,,United States,Illinois,Chicago,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:02:36,35-44,Engineering or Manufacturing,Engineering or Manufacturing,Design Engineer,,72000,0,USD,,,United States,Oregon,Portland,On-site,11-20 years,11-20 years,Master's degree,Non-binary,White
4/11/2023 11:02:42,45-54,Education (Primary/Secondary),Education (Primary/Secondary),High School Science Teacher,,64000,,USD,,,United States,New York,"Henrietta, NY",On-site,21-30 years,11-20 years,Master's degree,Man,White
4/11/2023 11:02:45,35-44,Utilities & Telecommunications,Computing or Tech,Senior Network Architect,,205000,20000,USD,,,United States,Maryland,Laurel,On-site,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:02:45,25-34,Education (Higher Education),Education (Higher Education),Advisor & Program Manager,,60000,0,USD,,,United States,Wisconsin,Madison,Hybrid,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:02:50,25-34,Biotechnology & Pharma,Administration,Project Coordinator,,30400,,GBP,,,United Kingdom,,Glasgow,Fully remote,5-7 years,5-7 years,Master's degree,Woman,Black or African American
4/11/2023 11:02:53,25-34,Health care,Nonprofits,Prospect Research Analyst,,61000,0,USD,,,United States,Massachusetts,Boston,Fully remote,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:02:54,25-34,Education (Higher Education),Administration,Administrative Coordinator,,70000,0,USD,,,United States,Massachusetts,Boston,Hybrid,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:02:57,25-34,Engineering or Manufacturing,Administration,Administrative Associate,,53000,1200,USD,,,United States,Indiana,Columbus,Hybrid,8-10 years,5-7 years,Master's degree,Man,White
4/11/2023 11:02:57,35-44,Computing or Tech,Computing or Tech,Developer II,,110000,0,USD,,,United States,New York,New York,Fully remote,11-20 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:03:00,35-44,Government & Public Administration,Government & Public Administration,Rules Unit Supervisor,,95000,,USD,,,United States,Minnesota,St. Paul,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:03:01,25-34,Media & Digital,Art & Design,senior designer,,695000,2500,USD,,,United States,New York,New York City,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:03:06,25-34,Education (Higher Education),fundraising,Assistant Director,,64220,0,USD,,,United States,Massachusetts,Cambridge,Hybrid,2-4 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 11:03:14,25-34,Engineering or Manufacturing,Engineering or Manufacturing,CIvil Engineer,,100000,5000,USD,,,United States,Virginia,Virginia Beach,Hybrid,5-7 years,5-7 years,Master's degree,Man,"White, Another option not listed here or prefer not to answer"
4/11/2023 11:03:14,55-64,Government & Public Administration,Science,Quality Assurance Lead,,62000,,USD,,,United States,Maryland,Baltimore,Hybrid,21-30 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:03:17,25-34,Computing or Tech,Administration,Administrative Assistant,,55161,0,USD,,,United States,Massachusetts,Boston,Hybrid,2-4 years,2-4 years,College degree,Woman,"Asian or Asian American, White"
4/11/2023 11:03:21,25-34,Nonprofits,Research,Project Manager,,97500,0,USD,,,United States,Vermont,Brattleboro,Fully remote,11-20 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:03:24,25-34,Sales,Sales,Sales representative ,Printing and sign specialist,42000,,CAD,,,Canada,,"Victoria, BC",On-site,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:03:26,35-44,religion,"Galleries, Libraries, Archives & Museums",Coordinator of The Saint John's Bible,Program coordinator/program facilitator,51000,,CAD,,,Canada,,Hamilton,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:03:28,45-54,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Archivist,,37000,0,GBP,,,United Kingdom,,Prefer not to say,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:03:28,25-34,Computing or Tech,Health care,Buyer ,,70000,,USD,,,United States,New York,New York ,Hybrid,11-20 years,1 year or less,College degree,Woman,White
4/11/2023 11:03:30,35-44,Education (Higher Education),Education (Higher Education),Advisor,"Strategic Advisor, Internships",92000,,CAD,,,Canada,,Montreal,Hybrid,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:03:33,35-44,Government & Public Administration,Computing or Tech,Senior Data Analyst,,110000,4000,USD,,,United States,Virginia,Arlington,Fully remote,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:03:34,45-54,Government & Public Administration,Procurement ,Contracts and Solicitations Manager,,91000,2000,USD,,,United States,Tennessee,Nashville,Hybrid,21-30 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:03:37,35-44,Nonprofits,Nonprofits,Rector,Priest in charge of a congregation,74495,,CAD,,,Canada,,Edmonton,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:03:36,35-44,Health care,Business or Consulting,Manager,,137000,20000,USD,,,United States,Minnesota,Twin Cities,Fully remote,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:03:37,35-44,Health care,"Accounting, Banking & Finance",Financial Specialist,,47840,0,USD,,,United States,North Carolina,Lexington,Hybrid,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:03:39,35-44,Computing or Tech,Computing or Tech,Product Owner,,88810,2000,USD,,,United States,Minnesota,Minneapolis,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:03:39,25-34,Computing or Tech,Administration,Sales Coordinator,Invoicing and Record keeping to support Sales team,55000,4800,USD,,,United States,New York,Brooklyn,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:03:40,45-54,Business or Consulting,Transport or Logistics,Senior Associate,"I typically function as a planner, but do a little of everything.",90000,,USD,,,United States,Texas,Dallas,Fully remote,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:03:41,18-24,Global public health programs funded by the U.S. government ,Administration,Administrative support specialist ,,44000,,USD,,,United States,North Carolina,Chapel hill,Hybrid,1 year or less,1 year or less,College degree,Man,White
4/11/2023 11:03:42,35-44,Nonprofits,Nonprofits,Grant Specialist ,Writing grants and also supervising calendar/process for other staff contributing to process,67000,0,USD,,,United States,District of Columbia,Washington ,Hybrid,11-20 years,8-10 years,Master's degree,,White
4/11/2023 11:03:41,35-44,Architecture,Architecture,Staff Architect,registered architect,82000,2000,USD,,,United States,Maine,Portland,Hybrid,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:03:41,35-44,Computing or Tech,Computing or Tech,Product Manager,,138000,5000,USD,,,United States,Missouri,Kansas City,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:03:42,25-34,Education (Primary/Secondary),Education (Primary/Secondary),High School Teacher,,70000,0,CAD,,,Canada,,"Orangeville, Ontario",On-site,5-7 years,5-7 years,College degree,Man,White
4/11/2023 11:03:43,45-54,Computing or Tech,Computing or Tech,Information Security Director,,175000,10000,CAD,,,Canada,,Halifax,Fully remote,21-30 years,21-30 years,Some college,Man,White
4/11/2023 11:03:44,35-44,Health care,"Marketing, Advertising & PR",Senior CRM Manager,,150000,,USD,,,United States,New York,Ossining,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:03:47,25-34,Nonprofits,Nonprofits,Grant Administrator,,80000,2000,USD,,,United States,Montana,Bozeman,On-site,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:03:47,25-34,Media & Digital,Media & Digital,Motion Graphics Animator,"2D, 3D, plus occasional web development when needed (small company, and I like the variety)",63000,1000,USD,,,United States,Michigan,Royal Oak,Hybrid,5-7 years,5-7 years,College degree,Non-binary,Asian or Asian American
4/11/2023 11:03:54,25-34,Computing or Tech,Computing or Tech,Software Engineer ,,79000,,EUR,,,Ireland,,Galway ,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:03:52,45-54,Agriculture or Forestry,Recruitment or HR,Human Resources Manager,,61050,9150,USD,,,United States,Florida,North Port,Hybrid,21-30 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/11/2023 11:03:53,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",library director,,60000,0,USD,,,United States,Massachusetts,Sheffield,On-site,8-10 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:04:00,35-44,Nonprofits,Nonprofits,Grants & Compliance Manager,,58800,,USD,,,United States,Florida,Miami,On-site,11-20 years,8-10 years,Master's degree,Woman,White
